msme_id,archetype,true_health,gst_turnover_lakhs_avg,gst_turnover_growth_yoy_pct,gst_filing_delay_days_avg,gst_filing_consistency_pct,upi_aa_avg_monthly_inflow_lakhs,upi_aa_avg_monthly_outflow_lakhs,cash_flow_volatility_cv,bounce_rate_pct,avg_bank_balance_runway_days,epfo_employee_count,epfo_employee_growth_yoy_pct,epfo_pf_compliance_score,epfo_avg_wage_growth_yoy_pct,defaulted_12m,net_margin_pct,revenue_stability_score,cash_flow_health_score,compliance_score,growth_momentum_score,repayment_capacity_score,composite_rule_score
MSME00029,credit_invisible_viable,60.6,136.2,-0.5,38.2,59.6,171.6,125.5,0.2,7.0,78.0,127,30.3,27.1,-3.5,0,26.9,30.4,77.9,19.4,51.3,71.2,51.4
MSME00030,credit_invisible_viable,59.8,343.8,27.9,29.7,82.8,173.1,167.7,0.59,8.1,66.0,169,18.2,67.2,8.3,1,3.1,66.0,45.2,54.6,59.1,46.2,53.5
MSME00031,high_risk_ntc,33.0,168.6,34.2,34.4,54.5,136.1,131.2,0.66,10.5,52.0,101,29.6,63.3,7.7,1,3.6,56.2,40.6,33.0,65.3,40.6,45.9
MSME00032,seasonal,70.1,209.7,22.5,18.3,96.3,224.7,171.4,0.57,4.8,88.0,140,5.4,75.5,16.9,0,23.7,51.7,64.6,74.4,62.3,72.7,65.3
MSME00033,seasonal,60.1,271.7,15.7,18.2,68.2,199.9,145.9,0.2,16.2,49.0,109,35.3,62.7,6.0,0,27.0,52.2,68.8,53.3,66.6,58.8,60.0
MSME00034,declining,48.3,352.1,-5.8,20.8,70.2,150.4,115.8,0.54,16.1,62.0,56,15.0,83.3,13.8,0,23.0,44.3,53.9,60.2,64.2,61.0,56.2
MSME00035,stable_growth,81.9,130.1,24.7,19.2,65.9,152.4,117.1,0.5,12.6,72.0,104,47.3,77.9,12.8,0,23.2,46.8,58.9,56.9,82.6,65.5,61.0
MSME00036,stable_growth,81.7,197.6,-1.0,28.8,93.6,204.4,164.4,0.21,8.1,41.0,71,-5.9,79.5,0.9,0,19.6,35.0,71.0,66.2,34.8,49.2,53.0
MSME00037,declining,40.5,139.4,-5.4,26.4,79.7,133.3,97.4,0.51,17.5,35.0,43,-11.8,72.8,-3.4,1,26.9,27.4,56.5,57.4,25.7,52.8,45.5
MSME00038,stable_growth,93.6,451.0,37.0,7.2,87.0,226.5,157.6,0.31,2.0,109.0,149,28.5,82.4,19.4,0,30.4,80.7,81.6,80.2,79.7,87.3,82.0
MSME00039,credit_invisible_viable,65.9,324.5,43.1,26.9,60.0,270.0,154.5,0.74,14.4,80.0,64,19.0,52.1,17.8,0,42.8,74.6,61.2,37.8,71.8,82.9,65.1
MSME00040,seasonal,36.0,285.2,50.6,33.6,67.5,97.2,87.4,0.8,15.4,26.0,104,33.4,27.0,8.4,1,10.1,76.5,35.7,27.5,68.6,35.0,47.0
MSME00041,credit_invisible_viable,84.0,239.2,18.9,21.2,68.8,225.4,185.2,0.15,10.5,43.0,69,5.4,66.9,20.4,0,17.8,51.6,69.3,52.9,66.8,48.6,58.0
MSME00042,credit_invisible_viable,63.4,181.5,43.7,26.7,89.0,230.1,171.1,0.8,12.4,66.0,124,26.7,77.4,16.8,0,25.6,63.5,50.3,64.4,75.2,64.9,62.4
MSME00043,seasonal,61.3,326.9,24.7,17.4,82.9,175.0,177.8,0.28,6.4,100.0,87,29.8,59.1,14.1,0,-1.6,62.6,54.3,61.1,73.7,56.8,60.7
MSME00044,credit_invisible_viable,81.1,344.9,25.8,8.7,81.7,280.0,176.4,0.56,3.1,75.0,171,29.0,83.6,3.9,0,37.0,64.8,76.6,76.4,60.0,78.2,72.0
MSME00045,credit_invisible_viable,52.0,310.4,24.2,14.0,47.8,130.3,110.6,0.65,8.8,92.0,117,-12.5,63.3,19.4,0,15.1,60.9,51.3,44.9,54.6,67.3,55.6
MSME00046,seasonal,45.0,217.5,13.9,9.5,57.3,162.5,135.9,0.31,16.0,67.0,149,28.6,77.9,11.2,1,16.4,46.6,57.1,59.4,69.2,57.7,57.4
MSME00047,seasonal,40.8,251.2,13.0,26.8,74.9,89.3,75.1,0.6,17.1,68.0,61,24.6,51.2,3.3,0,15.9,48.7,45.4,46.2,56.6,57.7,50.4
MSME00048,credit_invisible_viable,60.1,296.3,11.6,19.4,86.2,145.1,112.7,0.42,5.2,35.0,111,20.5,71.9,3.3,0,22.3,51.4,68.5,66.3,54.1,49.0,58.6
MSME00049,stable_growth,78.5,393.9,1.1,12.5,89.7,209.5,156.9,0.49,4.7,97.0,79,20.1,79.3,12.9,0,25.1,52.2,68.6,76.5,66.2,77.8,68.4
MSME00050,stable_growth,79.2,397.2,-1.2,1.9,61.6,238.4,202.5,0.42,5.4,70.0,105,20.7,89.6,-1.6,0,15.1,51.0,62.9,72.2,47.9,57.9,59.1
MSME00051,stable_growth,77.2,173.6,37.7,7.4,82.6,211.4,195.9,0.61,7.0,95.0,110,14.3,44.3,15.8,0,7.3,58.9,48.7,63.2,66.3,62.0,58.9
MSME00052,credit_invisible_viable,53.9,78.6,11.4,31.9,82.7,227.4,184.7,0.48,5.9,44.0,71,19.0,54.1,0.6,1,18.8,33.8,63.0,47.9,49.7,49.8,49.5
MSME00053,credit_invisible_viable,44.9,332.4,1.5,17.3,51.4,136.2,129.3,0.46,6.6,63.0,47,3.6,71.6,9.9,1,5.1,47.5,52.7,47.6,52.2,46.6,49.3
MSME00054,credit_invisible_viable,68.5,401.1,23.4,21.8,76.5,160.2,108.5,0.62,6.2,81.0,55,-4.4,87.6,5.5,0,32.3,67.6,67.9,64.7,41.7,77.0,65.1
MSME00055,credit_invisible_viable,63.3,190.3,35.0,8.4,77.9,278.4,247.4,0.54,10.9,65.0,26,-10.1,69.7,7.0,1,11.1,58.4,50.1,69.2,40.1,52.4,54.5
MSME00056,declining,39.6,76.5,13.8,36.5,62.8,158.0,118.9,0.64,8.3,66.0,49,-13.2,50.7,0.4,1,24.7,35.2,59.4,31.4,29.8,64.2,45.5
MSME00057,declining,42.0,237.0,-0.7,22.9,49.5,95.2,94.1,0.37,13.1,50.0,122,6.2,69.0,5.2,1,1.2,38.4,46.5,41.1,47.7,37.8,42.2
MSME00058,stable_growth,76.1,399.2,44.7,19.5,75.4,150.1,153.2,0.22,13.9,60.0,53,14.9,82.9,21.3,0,-2.1,81.7,48.5,64.1,73.8,39.2,60.2
MSME00059,stable_growth,81.1,449.6,49.2,36.0,77.1,142.8,101.6,0.28,3.6,106.0,65,21.2,67.6,19.7,0,28.9,88.8,79.9,46.5,75.6,84.8,75.3
MSME00060,credit_invisible_viable,70.3,356.1,32.8,32.1,75.5,232.3,129.9,0.3,8.6,95.0,176,22.3,73.8,12.7,0,44.1,70.3,82.6,50.9,67.3,89.3,72.8
MSME00061,declining,40.3,186.5,29.1,21.7,60.1,112.6,87.8,0.65,18.5,38.0,65,-10.8,74.7,6.1,1,22.0,54.2,46.8,50.4,38.5,50.0,48.4
MSME00062,declining,28.0,113.5,28.8,21.7,57.5,122.5,126.4,0.71,13.7,63.0,98,24.2,79.9,11.6,0,-3.2,48.1,30.6,50.8,67.0,39.6,45.4
MSME00063,credit_invisible_viable,66.2,299.9,40.8,15.9,75.3,173.0,147.1,0.39,7.5,52.0,140,6.2,78.1,17.4,0,15.0,71.1,61.7,65.0,63.4,50.1,62.2
MSME00064,credit_invisible_viable,70.0,280.7,34.6,23.0,81.8,222.5,176.9,0.67,15.3,44.0,144,4.4,69.3,3.2,1,20.5,65.5,48.2,60.0,44.1,51.2,54.0
MSME00065,declining,43.2,138.4,23.5,23.0,64.0,90.1,88.0,0.73,12.0,83.0,37,11.9,56.1,6.0,0,2.3,46.6,35.7,44.6,52.3,52.8,45.6
MSME00066,declining,31.1,383.3,16.6,22.9,58.8,64.3,61.0,0.58,19.8,19.0,75,-29.1,61.0,-5.7,0,5.1,61.7,35.3,43.5,12.2,27.8,37.3
MSME00067,seasonal,66.3,430.5,1.4,32.4,76.8,190.3,178.6,0.28,12.2,91.0,46,-4.2,65.2,17.4,0,6.1,55.3,54.2,48.2,57.1,59.4,54.7
MSME00068,stable_growth,72.9,406.0,36.9,16.4,56.3,219.9,193.4,0.68,7.6,68.0,186,30.5,72.8,21.7,0,12.1,77.0,49.2,51.6,83.8,54.6,61.5
MSME00069,seasonal,58.6,186.5,-5.8,38.7,78.6,184.8,183.5,0.43,13.6,61.0,43,-22.2,46.6,9.2,0,0.7,30.9,43.5,37.4,35.6,42.0,38.3
MSME00070,stable_growth,81.6,404.9,13.8,16.4,80.9,152.0,117.5,0.39,9.4,88.0,78,34.5,88.4,-3.9,0,22.7,61.6,65.6,71.8,53.4,71.9,65.5
MSME00071,seasonal,36.1,273.1,33.1,38.7,65.5,169.8,166.9,0.46,19.0,68.0,48,27.5,37.7,10.7,1,1.7,63.8,37.8,26.4,67.8,45.9,46.8
MSME00072,high_risk_ntc,10.6,179.3,13.6,33.7,67.3,56.0,50.9,0.44,15.6,24.0,25,-16.5,38.1,-3.1,1,9.1,43.3,47.5,31.5,23.2,33.2,37.0
MSME00073,stable_growth,63.1,394.6,44.3,28.8,53.4,139.6,98.2,0.2,10.7,86.0,162,16.0,67.3,3.7,0,29.7,81.1,76.3,38.1,51.8,76.8,66.0
MSME00074,stable_growth,56.3,330.3,12.6,14.4,51.6,103.6,105.3,0.57,11.2,68.0,182,27.7,88.7,13.2,1,-1.6,54.7,39.3,56.3,71.2,43.2,51.3
MSME00075,seasonal,51.9,327.7,-5.1,14.2,73.9,226.9,192.7,0.32,15.7,33.0,81,-3.5,53.8,9.8,0,15.1,42.8,56.1,56.4,47.8,42.0,49.4
MSME00076,seasonal,69.0,362.6,18.9,22.7,76.6,216.4,189.6,0.84,5.5,68.0,58,27.8,57.2,5.8,1,12.4,61.5,45.9,52.7,61.7,54.8,54.5
MSME00077,credit_invisible_viable,65.2,327.6,23.7,28.6,77.3,209.8,166.4,0.24,15.3,99.0,29,-2.3,57.5,4.1,0,20.7,62.0,63.5,48.6,41.2,74.9,59.2
MSME00078,declining,37.0,76.4,10.7,25.8,60.1,204.4,160.5,0.29,16.6,93.0,79,-9.4,80.0,6.9,1,21.5,33.1,61.1,49.2,40.4,73.1,52.4
MSME00079,credit_invisible_viable,78.9,341.3,44.4,7.0,86.4,285.6,209.9,0.48,3.7,93.0,109,0.7,32.2,7.7,0,26.5,76.9,71.0,61.2,47.6,77.2,68.0
MSME00080,credit_invisible_viable,81.3,288.8,22.0,6.4,89.0,97.6,90.0,0.65,13.8,50.0,96,23.4,57.0,2.4,0,7.8,57.7,40.9,72.5,54.6,43.2,53.1
MSME00081,seasonal,59.2,156.0,25.8,8.8,78.8,119.9,104.7,0.46,20.7,79.0,118,29.2,93.8,5.9,0,12.7,49.6,44.4,78.4,62.7,59.8,58.1
MSME00082,credit_invisible_viable,81.5,445.8,9.9,4.6,78.0,163.9,93.4,0.48,12.8,96.0,141,14.0,81.3,13.8,0,43.0,62.2,72.0,76.6,63.6,89.8,73.3
MSME00083,stable_growth,75.7,440.7,34.1,17.8,55.3,139.7,100.0,0.14,15.7,92.0,134,-9.6,52.9,9.2,0,28.4,78.0,72.4,42.4,43.3,78.4,64.4
MSME00084,stable_growth,68.3,411.1,23.2,29.1,84.5,114.1,113.7,0.29,10.2,90.0,101,-8.9,67.3,-1.0,0,0.4,68.3,51.6,56.1,30.6,54.2,53.2
MSME00085,stable_growth,70.2,333.7,9.5,17.9,88.7,165.0,120.7,0.23,3.5,82.0,68,20.5,69.8,17.0,0,26.8,53.0,80.2,68.1,71.7,72.8,69.6
MSME00086,credit_invisible_viable,53.2,380.9,11.8,5.3,78.6,84.6,51.4,0.17,4.4,62.0,132,36.1,74.8,-7.4,0,39.2,58.3,90.8,73.9,49.9,74.6,71.5
MSME00087,declining,26.1,182.6,1.1,26.0,53.1,132.2,142.8,0.58,17.1,34.0,82,3.2,78.7,1.2,1,-8.0,35.3,28.2,44.4,40.8,23.2,33.8
MSME00088,stable_growth,72.1,334.0,19.7,16.1,84.7,189.2,160.6,0.12,6.7,30.0,153,6.2,75.4,5.1,0,15.1,59.8,72.2,69.3,47.6,40.8,59.2
MSME00089,declining,43.0,131.9,42.1,39.4,77.6,169.0,141.6,0.26,9.1,66.0,130,17.3,48.3,7.9,0,16.2,58.5,65.6,36.9,58.0,57.0,55.6
MSME00090,stable_growth,88.8,388.9,29.9,5.2,93.9,234.8,155.6,0.26,6.8,87.0,68,15.7,85.5,16.1,0,33.7,71.0,81.1,86.9,67.6,80.6,78.1
MSME00091,credit_invisible_viable,54.2,269.5,12.1,17.8,61.3,193.7,185.2,0.31,14.9,78.0,45,-0.9,50.4,16.4,0,4.4,49.6,49.2,45.0,57.8,52.4,50.4
MSME00092,seasonal,64.7,168.5,-13.9,34.4,72.6,151.4,107.0,0.5,4.5,38.0,78,-7.9,49.5,3.5,1,29.3,24.1,71.6,38.3,37.0,56.0,47.1
MSME00093,seasonal,47.5,238.5,-2.6,27.4,77.9,254.5,249.6,0.54,10.6,76.0,54,29.4,34.3,11.9,0,1.9,37.2,43.5,41.2,70.6,49.4,47.0
MSME00094,seasonal,65.7,289.6,16.9,24.5,76.2,190.0,161.5,0.59,17.4,107.0,144,-29.1,42.1,11.0,0,15.0,54.4,44.8,45.3,33.7,73.6,50.9
MSME00095,credit_invisible_viable,66.7,431.7,9.2,19.9,62.7,70.8,57.0,0.56,5.5,73.0,129,26.0,52.5,-2.9,0,19.5,60.7,61.1,44.9,49.4,62.8,56.4
MSME00096,seasonal,38.0,303.5,35.0,28.3,70.7,75.6,66.8,0.71,18.2,53.0,139,-8.7,37.9,19.2,1,11.6,67.5,37.2,37.6,56.7,47.7,48.4
MSME00097,stable_growth,82.4,344.3,26.1,22.8,86.5,97.6,68.5,0.37,5.9,87.0,142,9.9,78.1,0.2,0,29.8,64.9,75.2,66.2,43.6,77.4,67.0
MSME00098,stable_growth,70.2,332.9,43.8,11.2,78.1,184.1,166.6,0.47,12.2,108.0,126,38.0,49.1,13.2,0,9.5,75.8,50.1,59.4,77.5,69.4,65.1
MSME00099,high_risk_ntc,22.0,174.3,3.8,35.5,62.7,99.0,78.6,0.66,20.6,25.0,132,-18.2,23.0,7.3,1,20.6,36.4,43.3,21.8,35.5,43.2,36.4
MSME00100,high_risk_ntc,14.0,133.3,0.1,17.3,55.3,71.1,51.1,0.62,20.3,46.0,93,-20.1,32.7,5.4,1,28.1,30.6,50.7,35.3,32.0,58.5,42.4
MSME00101,credit_invisible_viable,61.5,179.5,18.4,23.1,88.7,262.2,229.1,0.36,15.3,48.0,113,7.0,57.2,4.9,0,12.6,46.5,53.2,59.4,47.9,46.4,50.9
MSME00102,seasonal,65.1,281.0,21.8,20.8,64.7,206.8,178.8,0.36,5.4,57.0,167,19.0,56.6,15.5,0,13.5,57.0,63.8,47.0,68.9,51.0,57.3
MSME00103,high_risk_ntc,27.2,122.2,36.4,21.6,55.9,158.3,151.7,0.39,20.2,47.0,88,-12.2,74.6,-5.0,1,4.2,53.9,40.9,47.9,23.4,39.0,41.9
MSME00104,credit_invisible_viable,71.3,191.3,-14.7,17.6,77.6,127.6,103.8,0.48,5.8,100.0,104,-16.2,59.1,9.6,0,18.7,25.4,63.0,57.9,39.7,73.7,53.1
MSME00105,credit_invisible_viable,71.6,358.9,-10.7,12.4,86.3,124.0,88.6,0.38,10.6,106.0,80,-3.5,81.6,5.5,0,28.5,41.5,69.1,75.5,42.3,84.4,63.9
MSME00106,seasonal,75.8,359.4,16.0,8.6,61.6,194.0,165.2,0.28,10.0,86.0,149,35.0,70.8,5.1,0,14.8,59.4,63.0,60.0,65.2,64.4,62.3
MSME00107,seasonal,55.9,109.7,17.9,17.8,57.3,170.9,136.6,0.33,14.0,55.0,155,8.9,61.9,11.7,0,20.1,40.6,61.2,46.9,57.8,55.6,52.6
MSME00108,stable_growth,63.2,278.1,33.3,10.3,52.7,67.1,48.2,0.23,12.2,110.0,109,18.9,52.0,16.9,0,28.2,64.3,72.6,46.4,70.6,85.9,68.1
MSME00109,high_risk_ntc,46.0,334.8,22.4,26.5,69.0,132.8,105.5,0.66,9.0,49.0,152,-1.8,57.3,4.2,0,20.6,61.6,54.9,45.3,41.6,53.5,52.0
MSME00110,declining,31.7,301.1,-0.1,15.6,52.5,121.6,131.3,0.55,8.6,38.0,23,-14.3,40.9,11.6,0,-8.0,44.0,37.8,38.0,43.5,25.0,37.4
MSME00111,stable_growth,83.9,418.7,44.4,21.8,77.4,191.7,108.5,0.23,11.8,38.0,124,40.3,76.7,12.0,0,43.4,83.1,81.8,61.1,77.4,65.0,73.9
MSME00112,seasonal,64.6,297.9,38.9,9.5,82.4,124.0,105.1,0.58,11.2,99.0,110,7.1,62.5,2.1,0,15.2,69.7,51.5,68.3,44.3,70.4,61.2
MSME00113,declining,33.7,129.4,11.3,20.7,57.3,93.1,61.3,0.42,19.7,76.0,57,-9.9,39.3,3.5,1,34.2,37.8,62.9,36.2,35.7,76.4,51.2
MSME00114,stable_growth,77.8,226.2,42.0,11.3,82.1,184.6,133.5,0.18,8.3,112.0,187,33.3,84.7,8.4,0,27.7,66.0,77.9,75.1,68.4,86.4,75.2
MSME00115,high_risk_ntc,59.3,311.8,24.3,32.6,69.7,171.3,126.1,0.63,5.2,34.0,105,-5.6,70.9,3.0,0,26.4,61.1,64.1,46.1,37.7,51.9,53.5
MSME00116,credit_invisible_viable,88.8,387.7,21.5,17.1,88.8,238.8,130.3,0.26,11.5,107.0,113,8.7,69.4,15.2,0,45.4,65.3,81.1,68.7,62.2,94.4,75.3
MSME00117,credit_invisible_viable,68.7,407.5,35.4,16.4,81.8,236.7,193.9,0.34,8.0,74.0,116,12.7,70.4,11.6,1,18.1,76.2,65.3,65.6,60.0,62.1,66.1
MSME00118,seasonal,61.9,381.7,22.5,24.7,66.0,151.7,111.5,0.44,12.4,87.0,33,9.8,63.8,-2.6,0,26.5,65.5,63.7,47.4,39.9,74.6,59.4
MSME00119,credit_invisible_viable,78.8,321.8,27.6,3.7,78.1,169.2,93.8,0.6,5.8,38.0,89,21.1,58.2,-1.5,0,44.6,64.1,74.8,68.7,48.3,65.0,65.5
MSME00120,declining,26.5,88.6,32.2,27.3,74.1,139.3,139.2,0.56,21.7,84.0,126,32.8,51.0,8.1,1,0.1,48.4,30.4,45.3,67.8,51.4,46.8
MSME00121,credit_invisible_viable,71.3,282.8,-16.0,35.4,81.7,218.4,207.6,0.21,5.7,91.0,89,19.8,59.0,3.5,0,4.9,31.9,62.3,46.4,53.9,58.4,51.0
MSME00122,stable_growth,74.8,342.3,-0.8,18.3,62.3,164.1,155.5,0.5,7.4,75.0,83,-25.8,55.1,12.8,0,5.2,46.8,50.6,46.9,38.0,51.8,47.4
MSME00123,seasonal,63.8,272.0,-1.2,20.1,82.1,217.4,180.6,0.34,11.0,85.0,161,16.8,40.7,15.1,1,16.9,40.9,61.4,51.7,67.0,65.8,57.1
MSME00124,stable_growth,68.3,248.2,16.2,23.7,63.7,231.9,179.1,0.74,5.3,53.0,164,13.1,62.1,-0.1,0,22.8,50.5,57.4,46.2,45.2,57.0,51.9
MSME00125,declining,19.1,185.5,-2.8,36.1,75.8,179.9,189.8,0.58,18.3,32.0,99,-6.4,55.9,-4.8,1,-5.5,32.8,28.9,41.3,27.2,24.5,31.0
MSME00126,seasonal,35.1,160.7,-14.9,8.7,76.8,228.5,240.9,0.17,21.0,42.0,69,3.9,43.0,17.9,1,-5.4,22.8,40.7,58.3,62.7,28.8,41.6
MSME00127,stable_growth,66.1,236.5,3.3,6.5,79.0,123.1,114.3,0.49,7.9,28.0,102,10.9,93.7,12.2,0,7.1,41.0,51.9,80.3,59.7,33.3,52.8
MSME00128,stable_growth,71.3,341.4,7.9,19.8,79.3,185.8,120.0,0.74,11.3,92.0,81,12.5,81.6,6.7,0,35.4,52.5,60.9,65.6,53.5,84.2,63.7
MSME00129,declining,32.1,161.6,46.9,19.6,61.3,122.1,111.1,0.77,3.6,80.0,47,10.0,73.4,-1.4,1,9.0,64.0,47.7,52.2,41.7,57.0,52.8
MSME00130,stable_growth,90.5,381.8,52.3,26.1,89.2,207.9,157.2,0.68,6.7,67.0,85,10.5,86.1,8.3,0,24.4,85.4,59.4,68.2,54.4,64.4,66.6
MSME00131,high_risk_ntc,46.6,268.0,5.6,20.2,64.4,105.8,65.5,0.3,11.4,68.0,71,-14.1,85.1,-1.7,0,38.1,45.1,78.3,58.0,26.5,76.2,59.4
MSME00132,declining,25.4,92.7,-2.2,10.6,64.0,44.1,42.4,0.71,12.1,41.0,42,41.5,38.5,11.6,1,3.9,25.8,37.5,47.7,77.6,36.2,43.0
MSME00133,seasonal,64.2,245.4,-0.4,9.0,84.3,179.2,187.9,0.3,15.7,78.0,47,-3.5,31.1,3.0,0,-4.9,39.3,41.8,58.0,39.0,44.6,44.7
MSME00134,declining,30.9,333.9,-19.6,5.4,57.3,77.9,75.3,0.58,13.7,36.0,95,-0.7,44.9,13.8,0,3.3,33.6,40.0,50.2,54.6,33.5,41.6
MSME00135,stable_growth,72.7,203.7,22.9,15.4,70.8,192.1,182.8,0.2,8.4,52.0,129,-14.5,77.9,7.0,0,4.8,51.5,59.9,62.7,37.4,41.6,51.7
MSME00136,high_risk_ntc,32.8,56.0,-9.3,24.5,52.2,79.0,71.5,0.41,13.2,78.0,157,0.4,55.0,-2.0,1,9.5,18.1,51.2,36.2,35.0,56.6,40.2
